Fund Holdings as of,"Mar 31, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PEY","PEYTO EXPLORATION & DEVELOPMENT CO","Energy","Equity","31,693,864.14","0.12","31,693,864.14","1,166,073.00","27.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EIF","EXCHANGE INCOME CORP","Industrials","Equity","31,437,674.84","0.12","31,437,674.84","301,156.00","104.39","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"REI.UN","RIOCAN REAL ESTATE INVESTMENT TRUS","Real Estate","Equity","31,434,184.98","0.12","31,434,184.98","1,655,302.00","18.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MX","METHANEX CORP","Materials","Equity","31,359,939.48","0.12","31,359,939.48","378,332.00","82.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","Real Estate","Equity","31,124,870.10","0.12","31,124,870.10","876,510.00","35.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATH","ATHABASCA OIL CORP","Energy","Equity","30,763,462.50","0.12","30,763,462.50","2,734,530.00","11.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AC","AIR CANADA VOTING AND VARIABLE VOT","Industrials","Equity","30,289,826.88","0.11","30,289,826.88","1,671,624.00","18.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARIS","ARIS MINING CORP","Materials","Equity","30,237,037.11","0.11","30,237,037.11","1,170,617.00","25.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IGM","IGM FINANCIAL INC","Financials","Equity","30,064,077.76","0.11","30,064,077.76","453,592.00","66.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WFG","WEST FRASER TIMBER LTD","Materials","Equity","29,030,042.58","0.11","29,030,042.58","319,503.00","90.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
