iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPGI","S&P GLOBAL INC","Financials","Equity","1,759,450,759.50","0.22","1,759,450,759.50","3,918,075.00","449.06","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","1,689,476,869.20","0.22","1,689,476,869.20","4,342,012.00","389.10","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","1,687,198,857.48","0.21","1,687,198,857.48","9,997,623.00","168.76","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,683,423,940.98","0.21","1,683,423,940.98","11,903,719.00","141.42","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,678,644,933.34","0.21","1,678,644,933.34","3,470,354.00","483.71","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","1,619,265,610.20","0.21","1,619,265,610.20","2,792,415.00","579.88","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,596,303,133.04","0.20","1,596,303,133.04","8,004,328.00","199.43","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,563,006,552.35","0.20","1,563,006,552.35","13,974,131.00","111.85","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,543,104,289.83","0.20","1,543,104,289.83","1,616,781.00","954.43","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,533,394,573.20","0.20","1,533,394,573.20","26,078,139.00","58.80","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,521,494,231.28","0.19","1,521,494,231.28","7,505,768.00","202.71","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,515,747,175.25","0.19","1,515,747,175.25","4,657,675.00","325.43","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,506,591,910.92","0.19","1,506,591,910.92","3,228,319.00","466.68","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,497,940,665.10","0.19","1,497,940,665.10","7,879,751.00","190.10","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,494,829,901.62","0.19","1,494,829,901.62","4,898,833.00","305.14","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,482,778,809.16","0.19","1,482,778,809.16","8,056,829.00","184.04","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,456,215,523.56","0.19","1,456,215,523.56","3,563,217.00","408.68","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,455,509,786.66","0.19","1,455,509,786.66","1,455,509,787.00","1.00","United States","-","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,452,688,087.55","0.19","1,452,688,087.55","4,410,773.00","329.35","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,451,328,821.76","0.18","1,451,328,821.76","14,583,288.00","99.52","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,440,077,246.75","0.18","1,440,077,246.75","2,592,725.00","555.43","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,423,543,120.83","0.18","1,423,543,120.83","3,252,549.00","437.67","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,401,170,418.84","0.18","1,401,170,418.84","21,496,938.00","65.18","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,386,550,296.04","0.18","1,386,550,296.04","1,257,893.00","1,102.28","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,380,618,630.27","0.18","1,380,618,630.27","13,394,961.00","103.07","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,366,285,487.88","0.17","1,366,285,487.88","16,417,754.00","83.22","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,352,482,915.35","0.17","1,352,482,915.35","2,834,265.00","477.19","United States","NYSE","USD","1.00","USD","-"
